id,title,release_date,poster_path,overview,vote_average,original_title,original_language,backdrop_path,popularity,homepage,revenue,runtime,budget,youtube_key
862965,Emily the Criminal,2022-08-12,/iZvzMpREGiqDQ5eYbx8z70qPgst.jpg,"Emily, who is saddled with student debt and locked out of the job market due to a minor criminal record, gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",6.8,Emily the Criminal,en,/gVecEIEZLZg3pV5CACXAB48I6au.jpg,1485.04,https://www.emilythecriminal.com/,0,97,0,ZyPdyekByJ0
985939,Fall,2022-08-11,/spCAxD99U1A6jsiePFoqdEcY0dG.jpg,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",7.3,Fall,en,/1DBDwevWS8OhiT3wqqlW7KGPd6m.jpg,1099.204,https://www.lionsgate.com/movies/fall,11900000,107,3000000,n19hk6HdF7k
833097,Falling for Christmas,2022-11-10,/6GkphwL9s6dZb3DoQS9OQ4LcPgY.jpg,"A newly engaged and spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting total amnesia in a skiing accident.",6.8,Falling for Christmas,en,/iVtpnbPE91vmi3LmcOXycEblwPA.jpg,1060.523,https://www.netflix.com/title/81416312,0,95,0,bsNIJd45jYM
760161,Orphan: First Kill,2022-07-27,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",6.8,Orphan: First Kill,en,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,984.379,,9572765,99,0,UJlMFx6fm60
732459,Blade of the 47 Ronin,2022-10-25,/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",6.8,Blade of the 47 Ronin,en,/pGx6O6IwqADOsgmqWzPysmWnOyr.jpg,888.057,,0,106,0,xAQJ7wwijuI
896485,Overdose,2022-11-04,/9RvM4wawLRlX608FgZr9kL8CLmy.jpg,"Captain Sara Bellaiche, from Toulouse Judiciary Police branch, is investigating a go-fast linked to the murder of two teenagers, an investigation led by Richard Cross, from the Paris Criminal Brigade. Forced to collaborate in order to find the murderer and stop the bloody go-fast, Sara and Richard are both thrown in a breathless race against the clock on the roads of Spain and France.",6.5,Overdose,fr,/y4XBYLldCLuNLVeObTndfAaUrc3.jpg,1040.333,,0,119,0,
717728,Jeepers Creepers: Reborn,2022-09-15,/qVVegwPsW6n9unBtLWq1rzOutka.jpg,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",5.8,Jeepers Creepers: Reborn,en,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,1287.496,https://www.jeeperscreepersreborn.com/,2892594,88,20000000,dDU9yeqXtUw
856245,To Kill the Beast,2022-04-28,/hAdkgE8lHelIQWpgrHk4wjEnbxQ.jpg,"Emilia arrives at her Aunt Inés' hostel located on the Argentina-Brazil border, looking for her missing brother. In this lush jungle a dangerous beast which takes the form of different animals seems to be roaming around.",5.7,Matar a la Bestia,es,/hNzrnsH9FMMfITu2xQqaf70CRv5.jpg,922.389,,0,89,0,514222036
948276,Lost Bullet 2,2022-11-10,/uAeZI1JJbLPq7Bu5dziH7emHeu7.jpg,"Having cleared his name, genius mechanic Lino has only one goal in mind: getting revenge on the corrupt cops who killed his brother and his mentor.",7.3,Balle perdue 2,fr,/707thQazLJiYLBhCrZlRoV05NNL.jpg,1380.782,https://www.netflix.com/title/81509213,0,98,0,_Vw3Nur4YDo
551271,Medieval,2022-09-08,/4njdAkiBdC5LnFApeXSkFQ78GdT.jpg,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,7.2,Medieval,en,/aQOWnw3HydsCQZ10O0wvxFOaWc3.jpg,1212.966,https://theavenue.film/movies/medieval,0,126,23000000,zLU-FHARqQE
